Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,SDSSDX-240G-G25,SanDisk,Extreme 240GB,554,75.1,6179,https://ssd.userbenchmark.com/SanDisk-Extreme-240GB/Rating/1328,340
SSD,VTX3-25SAT3-240G,OCZ,Vertex 3 240GB,533,76.1,3254,https://ssd.userbenchmark.com/SpeedTest/2653/OCZ-VERTEX3,337
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 400GB,110,183,418,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500,335
SSD,MZ-76Q4T0BW,Samsung,SSD 860 QVO 4TB,237,102,1986,https://ssd.userbenchmark.com/SpeedTest/743794/Samsung-SSD-860-QVO-4TB,335
SSD,MZ-V7S2T0BW,Samsung,SSD 970 EVO Plus 2TB,18,328,32122,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB,329
SSD,MKNSSDRE512GB,Mushkin,Reactor 512GB,314,90.3,789,https://ssd.userbenchmark.com/Mushkin-Reactor-512GB/Rating/3584,328
SSD,SH103S3/240G,Kingston,HyperX 3K 240GB,485,79.3,21981,https://ssd.userbenchmark.com/Kingston-HyperX-3K-240GB/Rating/1818,328
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,117,172,6654,https://ssd.userbenchmark.com/SpeedTest/24782/Samsung-MZHPV256HDGL-00000,322
SSD,CT512M550SSD4,Crucial,M550 SATA M.2 512GB,291,92.2,162,https://ssd.userbenchmark.com/SpeedTest/15375/Crucial-CT512M550SSD4,322
SSD,ASX900S3-256GM-C,Adata,XPG SX900 256GB,534,76,5219,https://ssd.userbenchmark.com/Adata-XPG-SX900-256GB/Rating/1819,321
SSD,SHSS37A/480G,HyperX,Savage 480GB,458,80.9,152,https://ssd.userbenchmark.com/HyperX-Savage-480GB/Rating/3602,320
SSD,WDS100T1B0B,WD,Blue SATA M.2 1TB,397,84.6,2103,https://ssd.userbenchmark.com/SpeedTest/199326/WDC-WDS100T1B0B-00AS40,319
SSD,SSD7CS1311-960-RB,PNY,CS1311 960GB,298,91.3,2852,https://ssd.userbenchmark.com/PNY-CS1311-960GB/Rating/3617,317
SSD,CT256M550SSD3,Crucial,M550 mSATA 256GB,357,86.9,618,https://ssd.userbenchmark.com/SpeedTest/8589/Crucial-CT256M550SSD3,316
SSD,,Plextor,PX-256M3P 256GB,460,80.7,127,https://ssd.userbenchmark.com/SpeedTest/3332/PLEXTOR-PX-256M3P,314
SSD,CT512M550SSD3,Crucial,M550 mSATA 512GB,336,88.8,379,https://ssd.userbenchmark.com/SpeedTest/8510/Crucial-CT512M550SSD3,311
SSD,VTR180-25SAT3-480G,Toshiba,OCZ VT180 480GB,289,92.2,101,https://ssd.userbenchmark.com/SpeedTest/146334/TOSHIBA-VT180,310
SSD,CT2000P5SSD8,Crucial,P5 3D 2TB,23,303,822,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8,307
SSD,MZ-75E1T0B,Samsung,SSD 850 EVO 1TB,197,112,106772,https://ssd.userbenchmark.com/Samsung-850-EVO-1TB/Rating/3576,301
SSD,SB-ROCKET-2TB,Sabrent,Rocket 2TB,59,237,6617,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent,300
SSD,SSDPEDMW400G4X1,Intel,750 Series 400GB,97,190,8102,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40,300
SSD,SSDPEDMW400G4R5,Intel,750 Series 400GB,97,190,8102,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40,300
SSD,SSDPEDME400G401,Intel,DC P3600 Series 400GB,135,158,40,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40,300
SSD,PX-AG512M6e,Plextor,M6e PCIe 512GB,176,121,127,https://ssd.userbenchmark.com/SpeedTest/14616/PLEXTOR-PX-AG512M6e,300
SSD,VTX4-25SAT3-512G,OCZ,Vertex 4 512GB,308,90.8,1269,https://ssd.userbenchmark.com/SpeedTest/4340/OCZ-VERTEX4,300
SSD,,Micron,M600 256GB,312,90.5,835,https://ssd.userbenchmark.com/SpeedTest/24442/Micron-M600-MTFDDAK256MBF,300
SSD,CSSD-P256GBP-BK,Corsair,Performance PRO 256GB,440,81.9,272,https://ssd.userbenchmark.com/Corsair-Performance-PRO-256GB/Rating/45,299
SSD,SKC400S37/256G,Kingston,SSDNow KC400 256GB,400,84.5,2326,https://ssd.userbenchmark.com/SpeedTest/79042/KINGSTON-SKC400S37256G,298
SSD,CT525MX300SSD4,Crucial,MX300 SATA M.2 525GB,367,86.3,16541,https://ssd.userbenchmark.com/SpeedTest/174014/Crucial-CT525MX300SSD4,297
SSD,PX-512M6V,Plextor,M6V 512GB,290,92.2,47,https://ssd.userbenchmark.com/SpeedTest/31388/PLEXTOR-PX-512M6V,293
SSD,SSDPEK1W060GA01,Intel,800p 58GB,44,266,45,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06,290
SSD,SD6SB2M-512G-1022I,SanDisk,X210 512GB,420,83.3,1309,https://ssd.userbenchmark.com/SpeedTest/16627/SanDisk-SD6SB2M512G1022I,283
SSD,ARC100-25SAT3-480G,OCZ,ARC 100 480GB,389,85.2,1583,https://ssd.userbenchmark.com/OCZ-ARC-100-480GB/Rating/3471,277
SSD,SSDSC2KW480H6,Intel,540s Series 480GB,436,82.2,3431,https://ssd.userbenchmark.com/SpeedTest/128513/INTEL-SSDSC2KW480H6,277
SSD,WDS512G1X0C,WD,Black 512GB (2017),166,129,11169,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0,275
SSD,CT1050MX300SSD4,Crucial,MX300 SATA M.2 1TB,327,89.3,5344,https://ssd.userbenchmark.com/SpeedTest/182535/Crucial-CT1050MX300SSD4,273
SSD,CT500MX200SSD4,Crucial,MX200 SATA M.2 500GB,246,98.8,1068,https://ssd.userbenchmark.com/SpeedTest/23836/Crucial-CT500MX200SSD4,272
SSD,,Apple,SM0512F 500GB,412,83.9,238,https://ssd.userbenchmark.com/SpeedTest/9630/APPLE-SSD-SM0512F,269
SSD,SA1000M8/960G,Kingston,A1000 960GB,161,135,1625,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G,263
SSD,SDSSDHII-960G-G25,SanDisk,Ultra II 960GB,410,84,23088,https://ssd.userbenchmark.com/SanDisk-Ultra-II-960GB/Rating/3582,263
SSD,SDSSDXP-480G-G25,SanDisk,Extreme II 480GB,292,92.2,1247,https://ssd.userbenchmark.com/SpeedTest/2135/SanDisk-SDSSDXP480G,262
SSD,SSDSC2CW120A3,Intel,520 Series 120GB,599,72.7,15676,https://ssd.userbenchmark.com/Intel-520-Series-120GB/Rating/1935,262
SSD,PX-512M5P,Plextor,M5 PRO 512GB,352,87.1,498,https://ssd.userbenchmark.com/SpeedTest/1262/PLEXTOR-PX-512M5PRO,261
SSD,TS512GMTS800,Transcend,MTS800 M.2 512GB,398,84.6,511,https://ssd.userbenchmark.com/SpeedTest/22251/TS512GMTS800,260
SSD,SSDPEKNW020T8X1,Intel,660p 2TB,77,220,25409,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8,258
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,150,143,1721,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G,258
SSD,CT480M500SSD1,Crucial,M500 480GB,441,81.9,7319,https://ssd.userbenchmark.com/SpeedTest/2643/Crucial-CT480M500SSD1,258
SSD,MZ-V5P256BW,Samsung,SSD 950 256GB,85,203,37100,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950,257
