Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
HDD,,Seagate,ST2000NM0011 2TB,124,71.1,2876,https://hdd.userbenchmark.com/SpeedTest/3761/ST2000NM0011,156
HDD,ST31000524AS,Seagate,Barracuda 7200.12 1TB,253,55.1,304318,https://hdd.userbenchmark.com/Seagate-Barracuda-720012-1TB/Rating/2022,156
HDD,,Seagate,ST31000524AS 1TB,273,53.2,287,https://hdd.userbenchmark.com/SpeedTest/12491/Seagate-ST31000524AS,156
HDD,,Seagate,ST310005 1TB,389,45.8,15,https://hdd.userbenchmark.com/SpeedTest/1342/ST310005,156
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,42,87.4,89,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600,154
HDD,,WD,WD25EZRS-00J99B0 2.5TB,302,50.7,773,https://hdd.userbenchmark.com/SpeedTest/9160/WDC-WD25EZRS-00J99B0,152
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),15,93,87595,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898,150
HDD,WD2000F9YZ,WD,Se 2TB (2013),110,74.3,1436,https://hdd.userbenchmark.com/SpeedTest/11122/WDC-WD2000F9YZ-0,150
HDD,WD4002FYYZ,WD,Gold 4TB (2016),20,91.6,3218,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0,147
HDD,WD40PURX,WD,Purple 4TB (2014),113,73,5547,https://hdd.userbenchmark.com/SpeedTest/13618/WDC-WD40PURX-64GVNY0,147
HDD,,Hitachi,HDS723020BLA642 2TB,164,65.7,22649,https://hdd.userbenchmark.com/SpeedTest/1339/Hitachi-HDS723020BLA642,143
HDD,WD1002FAEX,WD,Black 1TB (2010),225,57.3,227494,https://hdd.userbenchmark.com/WD-Black-1TB-2010/Rating/1580,143
HDD,WD2001FFSX,WD,Red Pro 2TB (2014),112,73.2,596,https://hdd.userbenchmark.com/SpeedTest/25063/WDC-WD2001FFSX-68JNU,142
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,29,89.5,178373,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374,140
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),56,84.5,28439,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899,140
HDD,ST9750420AS,Seagate,Momentus 2.5 750GB (2010),341,48.1,19986,https://hdd.userbenchmark.com/SpeedTest/922/ST9750420AS,140
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),73,81.4,50132,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902,137
HDD,,Seagate,ST3500630AS 500GB,594,35,22759,https://hdd.userbenchmark.com/SpeedTest/20/ST3500630AS,136
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),54,84.7,1522,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166,135
HDD,ST3000VN000,Seagate,NAS HDD 3TB,97,78,1834,https://hdd.userbenchmark.com/SpeedTest/3909/ST3000VN000-1H4167,135
HDD,,Toshiba,MK6461GSY 640GB,423,44.3,791,https://hdd.userbenchmark.com/SpeedTest/3150/TOSHIBA-MK6461GSY,134
HDD,ST4000DM000,Seagate,Desktop HDD 4TB (2013),100,76.9,54640,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598,130
HDD,,Hitachi,HDS5C3030BLE630 3TB,136,68.9,1044,https://hdd.userbenchmark.com/SpeedTest/8059/Hitachi-HDS5C3030BLE630,130
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,33,89.1,1990,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0,129
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,55,84.7,2484,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526,129
HDD,,Hitachi,HDS721010DLE630 1TB,119,72.2,16524,https://hdd.userbenchmark.com/SpeedTest/744/Hitachi-HDS721010DLE630,129
HDD,0S03664,HGST,Deskstar NAS 4TB,126,70.9,5469,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971,129
HDD,,WD,WD30EURX 3TB,173,63.1,1278,https://hdd.userbenchmark.com/SpeedTest/4058/WDC-WD30EURX-63T0FY0,129
HDD,,Hitachi,HDS721032CLA362 320GB,574,35.9,9388,https://hdd.userbenchmark.com/SpeedTest/3419/Hitachi-HDS721032CLA362,129
HDD,HTS721010A9E630,HGST,Travelstar 7K1000 2.5 1TB,189,60.4,516401,https://hdd.userbenchmark.com/SpeedTest/975/HGST-HTS721010A9E630,127
HDD,WD2503ABYX,WD,RE4 250GB (2010),203,58.7,1152,https://hdd.userbenchmark.com/SpeedTest/5792/WDC-WD2503ABYX-01WERA0,127
