Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Xeon E3-1270 V2,244,74.3,2261,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz,53
CPU,BX80701G5920,Intel,Celeron G5920,635,54.2,22,https://cpu.userbenchmark.com/SpeedTest/1197531/IntelR-CeleronR-G5920-CPU---350GHz,53
CPU,BX80646G1830,Intel,Celeron G1830,662,53.1,166,https://cpu.userbenchmark.com/Intel-Celeron-G1830/Rating/2848,53
CPU,,AMD,Phenom II X4 810,663,53.1,1940,https://cpu.userbenchmark.com/SpeedTest/4242/AMD-Phenomtm-II-X4-810-Processor,53
CPU,,Intel,Core i5-3570,252,73.7,75908,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz,52
CPU,,Intel,Xeon E3-1286 v3,147,80.3,20,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz,51
CPU,,AMD,Phenom II X4 20,555,57.5,636,https://cpu.userbenchmark.com/SpeedTest/4534/AMD-Phenomtm-II-X4-20-Processor,51
CPU,,Intel,Core i7-4510U,617,55,50953,https://cpu.userbenchmark.com/SpeedTest/10660/IntelR-CoreTM-i7-4510U-CPU---200GHz,50
CPU,,Intel,Core2 Quad Q9450,687,52.2,5219,https://cpu.userbenchmark.com/SpeedTest/765/IntelR-CoreTM2-Quad--CPU---Q9450----266GHz,50
CPU,,Intel,Core i3-7130U,600,55.5,3475,https://cpu.userbenchmark.com/SpeedTest/376899/IntelR-CoreTM-i3-7130U-CPU---270GHz,49
CPU,,Intel,Core i5-2435M,654,53.5,460,https://cpu.userbenchmark.com/SpeedTest/968/IntelR-CoreTM-i5-2435M-CPU---240GHz,49
CPU,,Intel,Xeon X5690,211,75.9,3367,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz,48
